Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03,Chrome 126.0.0.0,,,17-07-2024 14:59:17,17-07-2024 14:59:33,"15,921s",PASSED
,,,,,,,
Test Cases/WebTest/TC03,Chrome 126.0.0.0,,,17-07-2024 14:59:17,17-07-2024 14:59:33,"15,787s",PASSED
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,17-07-2024 14:59:18,17-07-2024 14:59:21,"3,053s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,17-07-2024 14:59:21,17-07-2024 14:59:21,"0,046s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,17-07-2024 14:59:21,17-07-2024 14:59:22,"1,205s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,17-07-2024 14:59:22,17-07-2024 14:59:23,"1,069s",PASSED
delay(0),Chrome 126.0.0.0,,,17-07-2024 14:59:23,17-07-2024 14:59:23,"0,018s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:59:23,17-07-2024 14:59:23,"0,573s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,17-07-2024 14:59:23,17-07-2024 14:59:24,"0,707s",PASSED
"sendKeys(findTestObject(""Page_Wikipedia/input_Search""), Keys.chord(ENTER))",Chrome 126.0.0.0,,,17-07-2024 14:59:24,17-07-2024 14:59:27,"3,205s",PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,17-07-2024 14:59:27,17-07-2024 14:59:32,"5,007s",PASSED
"takeScreenshotAsCheckpoint(""Second Page Wikipedia"")",Chrome 126.0.0.0,,,17-07-2024 14:59:32,17-07-2024 14:59:33,"0,433s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,17-07-2024 14:59:33,17-07-2024 14:59:33,"0,247s",PASSED
