Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSWebGagal,Chrome 126.0.0.0,,,19-07-2024 16:41:45,19-07-2024 16:42:03,"17,718s",ERROR
,,,,,,,
Test Cases/TCWebGagal,Chrome 126.0.0.0,,,19-07-2024 16:41:58,19-07-2024 16:42:03,"4,125s",ERROR
"openBrowser(""www.wikipedia.org"")",Chrome 126.0.0.0,,,19-07-2024 16:41:58,19-07-2024 16:42:00,"1,604s",PASSED
maximizeWindow(),Chrome 126.0.0.0,,,19-07-2024 16:42:00,19-07-2024 16:42:00,"0,061s",PASSED
"click(findTestObject(""Page_Wikipedia/button_English""))",Chrome 126.0.0.0,,,19-07-2024 16:42:00,19-07-2024 16:42:01,"0,875s",PASSED
"waitForElementPresent(findTestObject(""Page_Wikipedia/icon_Search""), 0)",Chrome 126.0.0.0,,,19-07-2024 16:42:01,19-07-2024 16:42:02,"0,630s",PASSED
delay(0),Chrome 126.0.0.0,,,19-07-2024 16:42:02,19-07-2024 16:42:02,"0,004s",PASSED
"takeScreenshotAsCheckpoint(""First Page Wikipedia"")",Chrome 126.0.0.0,,,19-07-2024 16:42:02,19-07-2024 16:42:02,"0,543s",PASSED
"click(findTestObject(""Page_Wikipedia/input_Search""))",Chrome 126.0.0.0,,,19-07-2024 16:42:02,19-07-2024 16:42:02,"0,352s",PASSED
"setText(findTestObject(""Page_Wikipedia/input_Search""), SearchWikiWeb)",Chrome 126.0.0.0,,,19-07-2024 16:42:02,19-07-2024 16:42:03,"0,014s",ERROR
